Name,Expression,Time
Speaker,Sad,[20720.0]
Speaker,Neutral,[20760.0]
Speaker,Sad,[20760.0]
Speaker,Sad,[20760.0]
Speaker,Neutral,[20800.0]
Speaker,Sad,[20800.0]
Speaker,Sad,[20800.0]
Speaker,Sad,[20840.0]
Speaker,Sad,[20840.0]
Speaker,Sad,[20840.0]
Speaker,Sad,[20880.0]
Speaker,Sad,[20880.0]
Speaker,Sad,[20880.0]
Speaker,Neutral,[20920.0]
Speaker,Sad,[20920.0]
Speaker,Sad,[20920.0]
Speaker,Surprise,[20960.0]
Speaker,Sad,[20960.0]
Speaker,Sad,[20960.0]
Speaker,Surprise,[21000.0]
Speaker,Sad,[21000.0]
Speaker,Sad,[21000.0]
Speaker,Sad,[21040.0]
Speaker,Surprise,[21040.0]
Speaker,Sad,[21040.0]
Speaker,Sad,[21080.000000000004]
Speaker,Surprise,[21080.000000000004]
Speaker,Sad,[21080.000000000004]
Speaker,Happy,[21120.0]
Speaker,Sad,[21120.0]
Speaker,Sad,[21120.0]
Speaker,Sad,[21160.0]
Speaker,Sad,[21160.0]
Speaker,Happy,[21160.0]
Speaker,Happy,[21200.0]
Speaker,Sad,[21200.0]
Speaker,Sad,[21200.0]
Speaker,Happy,[21240.000000000004]
Speaker,Sad,[21240.000000000004]
Speaker,Sad,[21240.000000000004]
Speaker,Happy,[21280.0]
Speaker,Sad,[21280.0]
Speaker,Sad,[21280.0]
Speaker,Sad,[21320.0]
Speaker,Happy,[21320.0]
Speaker,Sad,[21320.0]
Speaker,Happy,[21360.0]
Speaker,Sad,[21360.0]
Speaker,Sad,[21360.0]
Speaker,Happy,[21400.000000000004]
Speaker,Sad,[21400.000000000004]
Speaker,Sad,[21400.000000000004]
Speaker,Happy,[21440.0]
Speaker,Sad,[21440.0]
Speaker,Sad,[21440.0]
Speaker,Happy,[21480.0]
Speaker,Sad,[21480.0]
Speaker,Sad,[21480.0]
Speaker,Happy,[21520.0]
Speaker,Sad,[21520.0]
Speaker,Sad,[21520.0]
Speaker,Happy,[21560.0]
Speaker,Sad,[21560.0]
Speaker,Sad,[21560.0]
Speaker,Happy,[21600.0]
Speaker,Sad,[21600.0]
Speaker,Sad,[21600.0]
Speaker,Happy,[21640.0]
Speaker,Sad,[21640.0]
Speaker,Sad,[21640.0]
Speaker,Sad,[21680.0]
Speaker,Happy,[21680.0]
Speaker,Sad,[21680.0]
Speaker,Surprise,[21720.0]
Speaker,Sad,[21720.0]
Speaker,Sad,[21720.0]
Speaker,Surprise,[21760.0]
Speaker,Sad,[21760.0]
Speaker,Sad,[21760.0]
Speaker,Surprise,[21800.0]
Speaker,Sad,[21800.0]
Speaker,Sad,[21800.0]
Speaker,Neutral,[21840.0]
Speaker,Sad,[21840.0]
Speaker,Sad,[21840.0]
Speaker,Neutral,[21880.0]
Speaker,Sad,[21880.0]
Speaker,Sad,[21880.0]
Speaker,Sad,[21920.0]
Speaker,Neutral,[21920.0]
Speaker,Sad,[21920.0]
Speaker,Sad,[21960.0]
Speaker,Sad,[21960.0]
Speaker,Sad,[21960.0]
Speaker,Sad,[22000.0]
Speaker,Sad,[22000.0]
Speaker,Sad,[22000.0]
Speaker,Happy,[22040.0]
Speaker,Sad,[22040.0]
Speaker,Sad,[22040.0]
Speaker,Happy,[22080.000000000004]
Speaker,Sad,[22080.000000000004]
Speaker,Sad,[22080.000000000004]
Speaker,Sad,[22120.0]
Speaker,Happy,[22120.0]
Speaker,Sad,[22120.0]
Speaker,Happy,[22160.0]
Speaker,Sad,[22160.0]
Speaker,Sad,[22160.0]
Speaker,Happy,[22200.0]
Speaker,Sad,[22200.0]
Speaker,Sad,[22200.0]
Speaker,Happy,[22240.000000000004]
Speaker,Sad,[22240.000000000004]
Speaker,Sad,[22240.000000000004]
Speaker,Neutral,[22280.0]
Speaker,Sad,[22280.0]
Speaker,Sad,[22280.0]
Speaker,Sad,[22320.0]
Speaker,Neutral,[22320.0]
Speaker,Sad,[22320.0]
Speaker,Neutral,[22360.0]
Speaker,Sad,[22360.0]
Speaker,Sad,[22360.0]
Speaker,Sad,[22400.000000000004]
Speaker,Sad,[22400.000000000004]
Speaker,Sad,[22400.000000000004]
Speaker,Happy,[22440.0]
Speaker,Sad,[22440.0]
Speaker,Sad,[22440.0]
Speaker,Happy,[22480.0]
Speaker,Sad,[22480.0]
Speaker,Sad,[22480.0]
Speaker,Sad,[22520.0]
Speaker,Sad,[22520.0]
Speaker,Happy,[22520.0]
Speaker,Happy,[22560.0]
Speaker,Sad,[22560.0]
Speaker,Sad,[22560.0]
Speaker,Happy,[22600.0]
Speaker,Sad,[22600.0]
Speaker,Sad,[22600.0]
Speaker,Happy,[22640.0]
Speaker,Sad,[22640.0]
Speaker,Sad,[22640.0]
Speaker,Happy,[22680.0]
Speaker,Sad,[22680.0]
Speaker,Sad,[22680.0]
Speaker,Sad,[22720.0]
Speaker,Sad,[22720.0]
Speaker,Sad,[22720.0]
Speaker,Neutral,[22760.0]
Speaker,Sad,[22760.0]
Speaker,Sad,[22760.0]
Speaker,Neutral,[22800.0]
Speaker,Sad,[22800.0]
Speaker,Sad,[22800.0]
